Date,Open,High,Low,Close,Adj Close,Volume
2022-09-28,15.160000,15.930000,15.020000,15.830000,15.830000,8567200
2022-09-29,15.510000,15.860000,14.380000,14.930000,14.930000,8244900
2022-09-30,14.790000,15.460000,14.545000,14.760000,14.760000,6522400
2022-10-03,14.960000,15.270000,14.370000,15.050000,15.050000,7126100
2022-10-04,15.750000,16.600000,15.631000,16.309999,16.309999,9529800
2022-10-05,15.910000,16.120001,15.070000,15.640000,15.640000,7777900
2022-10-06,15.570000,16.309999,15.336000,15.610000,15.610000,7074700
2022-10-07,15.160000,15.240000,14.130000,14.430000,14.430000,8941100
2022-10-10,14.440000,14.450000,13.500000,13.760000,13.760000,8701600
2022-10-11,13.540000,13.919000,12.950000,13.710000,13.710000,7567000
2022-10-12,13.790000,13.870000,13.080000,13.390000,13.390000,6036600
2022-10-13,12.860000,13.655000,12.450000,13.500000,13.500000,7989900
2022-10-14,13.610000,13.950000,12.545000,12.590000,12.590000,8294800
2022-10-17,13.130000,13.438000,12.920000,13.070000,13.070000,6754900
2022-10-18,13.530000,13.795000,13.310000,13.680000,13.680000,7312300
2022-10-19,13.380000,13.401000,12.750000,12.990000,12.990000,7928500
2022-10-20,12.850000,13.245000,12.265000,12.360000,12.360000,8317800
2022-10-21,12.300000,12.700000,11.960000,12.650000,12.650000,7209300
2022-10-24,12.680000,12.720000,11.780000,12.420000,12.420000,7451200
2022-10-25,12.500000,13.540000,12.460000,13.340000,13.340000,8307200
2022-10-26,13.350000,14.230000,13.225000,13.710000,13.710000,8165700
2022-10-27,13.860000,13.990000,13.423000,13.660000,13.660000,5658800
2022-10-28,13.610000,13.820000,13.061000,13.520000,13.520000,4855400
2022-10-31,13.560000,14.085000,13.390000,13.980000,13.980000,5470600
2022-11-01,14.430000,14.620000,13.900000,14.100000,14.100000,5396000
2022-11-02,14.100000,14.190000,12.965000,13.050000,13.050000,6989000
2022-11-03,12.910000,13.473000,12.625000,13.040000,13.040000,5229000
2022-11-04,13.300000,13.490000,12.200000,12.560000,12.560000,7748200
2022-11-07,12.765000,12.860000,11.360000,11.930000,11.930000,12173300
2022-11-08,12.100000,12.423000,11.580000,12.190000,12.190000,7041300
2022-11-09,12.030000,12.200000,11.155000,11.230000,11.230000,8605100
2022-11-10,12.030000,12.840000,11.980000,12.500000,12.500000,10533900
2022-11-11,12.590000,13.615000,12.350000,13.380000,13.380000,9656800
2022-11-14,13.310000,13.450000,12.420000,13.300000,13.300000,8161100
2022-11-15,13.950000,14.150000,13.500000,13.680000,13.680000,8176400
2022-11-16,13.390000,13.410000,12.575000,12.880000,12.880000,7818800
2022-11-17,12.600000,12.690000,12.220000,12.590000,12.590000,6061500
2022-11-18,12.850000,12.930000,12.180000,12.450000,12.450000,5607000
2022-11-21,12.300000,12.320000,11.530000,11.710000,11.710000,7667000
2022-11-22,11.740000,11.945000,11.280000,11.490000,11.490000,11963800
2022-11-23,11.610000,12.070000,11.540000,11.970000,11.970000,5334800
2022-11-25,11.980000,12.070000,11.745000,11.990000,11.990000,3362200
2022-11-28,11.790000,11.980000,11.330000,11.440000,11.440000,6926000
2022-11-29,11.570000,11.860000,11.430000,11.530000,11.530000,7422600
2022-11-30,11.710000,12.440000,11.560000,12.420000,12.420000,9270100
2022-12-01,12.400000,12.590000,11.780000,12.190000,12.190000,19031900
2022-12-02,11.740000,12.030000,11.320000,11.640000,11.640000,19613700
2022-12-05,11.590000,12.150000,11.390000,11.470000,11.470000,13690800
2022-12-06,11.560000,11.588000,10.750000,10.890000,10.890000,11300900
2022-12-07,10.820000,11.270000,10.630000,10.760000,10.760000,8340700
2022-12-08,10.920000,11.310000,10.590000,11.000000,11.000000,7260900
2022-12-09,11.000000,11.178000,10.600000,10.650000,10.650000,6073700
2022-12-12,10.660000,11.400000,10.510000,10.990000,10.990000,9426200
2022-12-13,11.670000,12.047000,11.050000,11.380000,11.380000,11588400
2022-12-14,11.320000,11.700000,11.170000,11.260000,11.260000,9180500
2022-12-15,10.880000,11.055000,10.550000,10.650000,10.650000,10743500
2022-12-16,10.600000,10.830000,10.260000,10.450000,10.450000,12182600
2022-12-19,10.450000,10.490000,9.410000,9.660000,9.660000,16040400
2022-12-20,9.640000,9.980000,9.460000,9.520000,9.520000,7256400
2022-12-21,9.550000,9.820000,9.380000,9.570000,9.570000,7317300
2022-12-22,9.360000,9.410000,8.520000,8.900000,8.900000,12587700
2022-12-23,8.820000,8.940000,8.460000,8.550000,8.550000,9163400
2022-12-27,8.560000,8.560000,8.070000,8.250000,8.250000,11940300
2022-12-28,8.300000,8.500000,8.200000,8.310000,8.310000,9336200
